GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chatbot Maven Webapp,com.main.result,DetailsToSalesPeople,45,0,0,0,13,0,2,0,2,0
chatbot Maven Webapp,com.main.result,ResultPageController,10,0,0,0,3,0,2,0,2,0
chatbot Maven Webapp,com.main.result,ResultUtil,21,0,0,0,6,0,2,0,2,0
chatbot Maven Webapp,com.main,AddAiml,18,0,0,0,8,0,2,0,2,0
chatbot Maven Webapp,com.main,Application,8,0,0,0,3,0,2,0,2,0
chatbot Maven Webapp,com.main.chatbot,ChatbotController,82,0,6,0,20,0,6,0,3,0
chatbot Maven Webapp,com.main.chatbot,ChatBot,0,32,0,2,0,10,0,3,0,2
chatbot Maven Webapp,com.main.product,ProductPreferences,8,0,0,0,2,0,2,0,2,0
chatbot Maven Webapp,com.main.product,ProductUtil,0,110,0,14,0,19,0,12,0,5
chatbot Maven Webapp,com.main.product,ProductSuggestion,0,18,0,0,0,4,0,1,0,1
chatbot Maven Webapp,com.main.util,ResourcePath,0,35,0,0,0,4,0,1,0,1
chatbot Maven Webapp,com.main.util,StringSimilarity,0,36,0,4,0,9,0,3,0,1
chatbot Maven Webapp,com.main.util,ConvertToJSON,0,45,1,1,0,8,1,1,0,1
chatbot Maven Webapp,com.main.util,Utility,0,9,0,2,0,1,0,2,0,1
chatbot Maven Webapp,com.main.device,DeviceUtil,63,0,8,0,19,0,10,0,6,0
chatbot Maven Webapp,com.main.device,DeviceDAO,116,0,0,0,14,0,8,0,8,0
chatbot Maven Webapp,com.main.device,Device,21,97,0,0,7,26,7,10,7,10
chatbot Maven Webapp,com.main.device,DeviceMapper,0,45,0,0,0,9,0,1,0,1
chatbot Maven Webapp,com.main.customer,CustomerController,16,0,0,0,4,0,2,0,2,0
chatbot Maven Webapp,com.main.customer,CustomerUtil,15,0,0,0,4,0,2,0,2,0
chatbot Maven Webapp,com.main.customer,CustomerDAO,49,0,0,0,6,0,4,0,4,0
chatbot Maven Webapp,com.main.customer,CustomerDetails,58,0,0,0,17,0,9,0,9,0
